Episode,Cumulative Reward,Mean Delay,Mean Avg Queue,Max Queue,Throughput
0,-232446.03028748688,29.580622346541904,0.3681378787878788,2,1005
1,-198428.4409971347,25.36326156403576,0.33371212121212124,2,999
2,-218417.8472401876,27.828034692902236,0.38201742424242424,2,1015
3,-234500.6938128558,29.780406044788815,0.3821113636363636,2,988
4,-294379.699612908,37.19697154252256,0.4084818181818182,2,938
5,-242043.08050759768,30.694169533146678,0.34455606060606053,2,940
6,-259035.32418769717,32.6577310537652,0.4063689393939394,2,875
7,-286256.1699494968,36.21904056186887,0.3285863636363636,2,919
8,-286785.5309154335,36.12641901594432,0.4110446969696969,2,862
9,-284756.9096541889,35.92165082798573,0.3441757575757575,2,848
