episode,step,lane,queue,speed,waiting
1,0,-E9_2,0,13.89,0
1,1,-E9_2,0,13.89,0
1,2,-E9_2,0,13.89,0
1,3,-E9_2,0,13.89,0
1,4,-E9_2,0,13.89,0
1,5,-E9_2,0,13.89,0
1,6,-E9_2,0,5.288116674730311,0.0
1,7,-E9_2,0,7.369665257236677,0.0
1,8,-E9_2,0,9.947898622159602,0.0
1,9,-E9_2,0,10.305532219688558,0.0
1,10,-E9_2,0,8.32562339577552,0.0
1,11,-E9_2,0,9.18443440146938,0.0
1,12,-E9_2,0,9.821615472405293,0.0
1,13,-E9_2,0,10.709459467201569,0.0
1,14,-E9_2,0,9.034567617138897,0.0
1,15,-E9_2,0,10.336213204590605,0.0
1,16,-E9_2,0,10.572777936359676,0.0
1,17,-E9_2,0,10.202370224666378,0.0
1,18,-E9_2,0,8.016080671641976,0.0
1,19,-E9_2,0,9.759168251324759,0.0
1,20,-E9_2,0,10.007898290048201,0.0
1,21,-E9_2,0,10.488198828387592,0.0
1,22,-E9_2,0,7.985841684853161,0.0
1,23,-E9_2,0,7.7714809217711425,0.0
1,24,-E9_2,0,6.99502418093829,0.0
1,25,-E9_2,0,7.22818659918281,0.0
1,26,-E9_2,1,5.670918633173699,1.0
1,27,-E9_2,1,5.725666501425615,2.0
1,28,-E9_2,1,4.783413069889397,3.0
1,29,-E9_2,2,3.959127428569349,5.0
1,30,-E9_2,2,3.5132335268477304,7.0
1,31,-E9_2,2,3.642821027927681,9.0
1,32,-E9_2,3,2.9996945800508774,12.0
1,33,-E9_2,3,2.5229618060860597,15.0
1,34,-E9_2,3,2.63390284415018,18.0
1,35,-E9_2,3,3.1872806585406788,12.0
1,36,-E9_2,2,3.271858295840911,7.0
1,37,-E9_2,1,2.837657273172244,3.0
1,38,-E9_2,0,3.4155523182158447,0.0
1,39,-E9_2,0,3.9188035261933187,0.0
1,40,-E9_2,0,4.072591595593762,0.0
1,41,-E9_2,0,4.894490568915883,0.0
1,42,-E9_2,0,4.546855921166312,0.0
1,43,-E9_2,1,4.095710441822704,1.0
1,44,-E9_2,1,3.8505208087796556,2.0
1,45,-E9_2,1,3.117456576169165,3.0
1,46,-E9_2,2,2.9281405053723093,5.0
1,47,-E9_2,3,2.6112267719618645,8.0
1,48,-E9_2,4,2.0748480692032145,12.0
1,49,-E9_2,4,1.7882897306552963,16.0
1,50,-E9_2,4,1.637002324374952,20.0
1,51,-E9_2,5,1.3512370525923234,25.0
1,52,-E9_2,6,1.188340002051192,31.0
1,53,-E9_2,6,1.2627333155558904,37.0
1,54,-E9_2,6,1.3284145526076212,43.0
1,55,-E9_2,7,1.1997587805929713,50.0
1,56,-E9_2,7,1.1898144340975982,57.0
1,57,-E9_2,7,0.752789969516555,64.0
