episode,avg_delay,avg_queue,max_queue,throughput
1,11.44377083,2.057625,11,121
2,9.2462875,1.956958333,11,119
3,10.42541667,2.210083333,11,110
4,15.37455,2.639208333,11,99
5,12.903675,2.397041667,11,111
6,20.59874167,2.612666667,11,107
7,14.0075375,2.309083333,11,112
8,18.1489125,2.649416667,11,99
9,14.17951667,2.396541667,11,110
10,19.48703333,2.718958333,11,101
11,16.1461125,2.60475,11,110
12,15.28217917,2.347041667,11,123
13,20.9150125,2.835958333,11,100
14,19.02545417,2.668208333,11,105
15,32.84335,3.2605,11,91
16,22.59236667,2.769125,11,93
17,23.74577083,2.935458333,11,106
18,33.26361667,3.124041667,11,90
19,20.17569583,2.769083333,11,107
20,29.90320833,2.683791667,11,123
21,25.25644167,2.800291667,11,104
22,21.72105417,2.817,11,99
23,33.3478375,3.268041667,11,80
24,22.02350833,2.968208333,11,96
25,24.0890875,3.007208333,11,89
26,22.17707917,3.049958333,11,83
27,29.08904583,3.268291667,11,88
28,21.70897917,2.727583333,11,101
29,29.77877917,3.269833333,11,84
30,25.1232375,2.885833333,11,93
31,26.91016667,3.282958333,11,81
32,27.71395417,3.242208333,11,84
33,23.52179167,3.030416667,11,90
34,31.47089583,3.153958333,11,99
35,22.11100417,3.001083333,11,88
36,27.90973333,2.963375,11,102
37,20.94750833,2.57825,11,104
38,32.0531625,3.582458333,11,73
39,33.34364583,3.34975,11,78
40,39.53045417,3.505666667,11,82
41,24.83672917,2.930833333,11,101
42,27.62176667,3.1165,11,88
43,28.9164875,3.249916667,11,81
44,21.1667875,2.762291667,11,101
45,25.0902375,2.954208333,11,91
46,23.434375,3.065458333,11,93
47,24.71409583,2.96125,11,116
48,29.76761667,3.40225,11,82
49,29.7057,3.225208333,11,85
50,28.19389583,3.019833333,11,98
