step,avg_delay,avg_queue,max_queue,throughput,cumulative_reward
0,0.0,0.0,0,0,0.0
1,0.0,0.0,0,0,0.0
2,0.0,0.0,0,0,0.0
3,0.0,0.0,0,0,0.0
4,0.0,0.0,0,0,0.0
5,0.0,0.0,0,0,0.0
6,0.0,0.0,0,0,0.0
7,0.0,0.0,0,0,0.0
8,0.0,0.0,0,0,0.0
9,0.0,0.0,0,0,0.0
10,0.0,0.0,0,0,0.0
11,0.0,0.0,0,0,0.0
12,0.0,0.0,0,0,0.0
13,0.0,0.0,0,0,0.0
14,0.0,0.0,0,0,0.0
15,0.0,0.0,0,0,0.0
16,0.0,0.0,0,0,0.0
17,0.0,0.0,0,0,0.0
18,0.0,0.0,0,0,0.0
19,0.0,0.0,0,0,0.0
20,0.0,0.0,0,0,0.0
21,0.0,0.0,0,0,0.0
22,0.043478260869565216,0.0,0,0,-0.08695652173913043
23,0.08695652173913043,0.0,0,0,-0.2608695652173913
24,0.125,0.0,0,0,-0.5108695652173914
25,0.16666666666666666,0.0,0,0,-0.8442028985507246
26,0.2,0.0,0,0,-1.2442028985507245
27,0.25,0.0,0,0,-1.7442028985507245
28,0.2962962962962963,0.0,0,0,-2.336795491143317
29,0.375,0.0,0,0,-3.086795491143317
30,0.4642857142857143,0.0,0,0,-4.0153669197147455
31,0.5689655172413793,0.0,0,0,-5.153297954197504
32,0.6666666666666666,0.0,0,0,-6.486631287530837
33,0.8,0.0,0,0,-8.086631287530837
34,0.875,0.08333333333333333,1,0,-11.419964620864171
35,1.0,0.08333333333333333,1,0,-15.003297954197505
36,1.1935483870967742,0.16666666666666666,1,1,-16.05706139505772
37,1.3125,0.16666666666666666,1,0,-20.348728061724387
38,1.4393939393939394,0.3333333333333333,1,1,-22.060849273845598
39,1.4285714285714286,0.25,1,0,-26.667992130988456
40,1.4444444444444444,0.3333333333333333,1,0,-31.390214353210677
41,1.4594594594594594,0.25,1,0,-36.0591332721296
42,1.5694444444444444,0.08333333333333333,1,2,-34.78135549435182
43,1.6527777777777777,0.08333333333333333,1,0,-39.670244383240714
44,1.644736842105263,0.16666666666666666,1,0,-44.626384734117906
45,1.7236842105263157,0.25,1,0,-49.823753155170536
46,1.7564102564102564,0.25,1,0,-55.08657366799105
47,1.8717948717948718,0.25,1,0,-60.58016341158079
48,1.9875,0.4166666666666667,2,0,-67.97183007824746
49,2.073170731707317,0.5,2,0,-75.6181715416621
50,2.1666666666666665,0.5,2,0,-83.45150487499542
51,2.255813953488372,0.5833333333333334,2,0,-91.54646611530549
52,2.4186046511627906,0.75,2,0,-100.13367541763107
53,2.5930232558139537,0.75,2,0,-109.06972192925898
54,2.715909090909091,0.8333333333333334,2,0,-118.33487344441049
55,2.7717391304347827,0.8333333333333334,2,0,-127.71168503861338
