Episode,Cumulative Reward,Mean Delay,Mean Avg Queue,Max Queue,Throughput
0,-509906.96252693725,32.40793970338809,0.3926784090909091,2,2056
1,-485564.9612830507,30.888314246857316,0.3528041666666667,2,2006
2,-447774.24829024874,28.642293927231467,0.3602556818181818,2,2156
3,-670059.7312321537,42.36210611867628,0.46500416666666666,2,2073
4,-557495.2371533513,35.44719853420559,0.41400757575757574,2,2189
5,-633322.4551336606,40.07367693070228,0.4345155303030303,2,2044
6,-646140.1953041645,40.87915046408607,0.44659848484848486,2,2034
7,-497592.13622722914,31.70132593844433,0.3693026515151515,2,2100
8,-485193.94484764343,30.957408106008035,0.373551893939394,2,2122
9,-412850.3022028799,26.543642751316337,0.3805022727272727,2,2294
10,-433940.7895726345,27.873131924047275,0.40245984848484845,2,2359
11,-475523.83939364896,30.40349185604251,0.3988087121212121,2,2209
12,-399619.3967091244,25.81204771098696,0.3426416666666667,2,2289
13,-400760.8160618277,25.879222594773335,0.34178181818181813,2,2306
14,-370180.214700095,24.056256789968064,0.31776325757575763,2,2357
15,-405155.5912528883,26.07514225633579,0.35228939393939396,2,2249
16,-366839.2140760383,23.785864326722113,0.3606731060606061,2,2410
17,-504855.7101960073,32.38221787209896,0.3180280303030303,2,2277
18,-359402.59748671093,23.34060173685883,0.32330871212121215,2,2369
19,-325480.5839828228,21.336244642865786,0.28545871212121215,2,2436
